Piece,Type,Key,Difficulty,Date,Ensemble
Danza,dance,Dm,3.0,1516,6-course
1a. A Fantasy,fantasia,GM,6.0,1610,7-course
,fantasia,Dm,5.0,1600,8-course
3. Farewell Fancy,fantasia,Dm,6.0,1600,8-course
4. Farewell,fantasia,Gm,4.0,1600,7-course
5. Fantasy 5,fantasia,Dm,5.0,1595,7-course
66. Fantasy,fantasia,Gm,4.0,1600,7-course
A Fancy,fantasia,Gm,6.0,1600,8-course
7. A fancy,fantasia,Gm,4.0,1600,8-course
,pavane,Gm,5.0,1616,6-course
11. Mrs Brigide Fleetwoods Pavane,pavane,Am,5.0,1600,6-course
13a. Dowlands Adieu,pavane,DM,5.0,1610,7-course
,pavane lament,Gm,3.0,1600,7-course 6-course bass viol
14a. Sir John Langton his Pavane,pavane,DM,6.0,1610,8-course
14. John Langtons Pavane,pavane,DM,5.0,1600,8-course
15a. Lachrimae Pavane (in A),pavane,Am,4.0,c.1595,6-course
15. Lacrimae (in G),pavane,Gm,5.0,1600,8-course
17a. Lady Russels Pavane,pavane,GM,6.0,1600,7-course
19. Captain Digorie Pipers Galliard,galliard,Gm,5.0,1600,8-course
22. Dowlands First Galliard,galliard,Gm,4.0,1600,7-course
28. A galliard upon the galliard before,galliard,Cm,4.0,1620,8-course
28. Galliard on the galliard before,galliard,Cm,4.0,1620,8-course
32. Mrs. Vaux Galliard,galliard,Cm,3.0,1600,6-course
33. Mr. Langtons Galliard,galliard,GM,4.0,1600,7-course
34. Galliard - Mignarda,galliard,Em,5.0,1600,6-course
38. Lord Viscount Lisles Galliard,galliard,Fm,5.0,1610,7-course
39. Round battle galliard,battle galliard-dance battle galliard,GM,3.0,c.1590,6-course
40a. The King of Denmarks Galliard,galliard,DM,3.0,1605,8-course
40. The King of Denmarks Galliard,galliard,DM,6.0,1610,8-course
40. The King of Denmarks Galliard,galliard,DM,6.0,1610,8-course
41. Queen Elizabeths Galliard,galliard,GM,4.0,1610,6-course
