Title,Subtitle,Composer,Orig. composer,Source,Document,Volume,Date,Page,Editor,Encoder,Arranger,Intabulator,Contributor,Concordances,Piece,Section,Type,Key,Difficulty,Ensemble,Part,Remarks,Recording,Facsimile,Fronimo,PDF,Midi,Created,Modified
When daisies pied,,Thomas Arne,,William Shakespeare,Love's Labor's lost V-2,,1747,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,When daisies pied,,lute song,GM,5.0,"soprano, 8-course",8-course,,,,https://lutemusic.org/composers/Arne/when_daisies_pied/when_daisies_pied_T.ft3,https://lutemusic.org/composers/Arne/when_daisies_pied/pdf/when_daisies_pied_T.pdf,https://lutemusic.org/composers/Arne/when_daisies_pied/midi/when_daisies_pied_T.mid,1709916849,1697320317
When daisies pied,,Thomas Arne,,William Shakespeare,Love's Labor's lost V-2,,1747,%1,Sarge Gerbode,Sarge Gerbode,Sarge Gerbode,,,,When daisies pied,,lute song,GM,5.0,"soprano, 8-course",score,,,,https://lutemusic.org/composers/Arne/when_daisies_pied/when_daisies_pied_VT.ft3,https://lutemusic.org/composers/Arne/when_daisies_pied/pdf/when_daisies_pied_VT.pdf,https://lutemusic.org/composers/Arne/when_daisies_pied/midi/when_daisies_pied_VT.mid,1709916849,1697320305
Sweet was the song,,John Attey,,John Attey,First book of ayres,,1622,%1,Sarge Gerbode,Sarge Gerbode,,,,,Sweet was the song,,"lute song, christmas",Am,3.0,"7-course, soprano",7-course,,,,https://lutemusic.org/composers/Attey/songs/sweet_was_the_song/sweet_was_the_song.ft3,https://lutemusic.org/composers/Attey/songs/sweet_was_the_song/pdf/sweet_was_the_song.pdf,https://lutemusic.org/composers/Attey/songs/sweet_was_the_song/midi/sweet_was_the_song.mid,1709916849,1700164319
Sweet was the song,,John Attey,,John Attey,First book of ayres,,1622,%1,Sarge Gerbode,Sarge Gerbode,,,,,Sweet was the song,,"lute song, christmas",Am,3.0,"7-course, soprano",7-course,,,,https://lutemusic.org/composers/Attey/songs/sweet_was_the_song/sweet_was_the_song_T.ft3,https://lutemusic.org/composers/Attey/songs/sweet_was_the_song/pdf/sweet_was_the_song_T.pdf,https://lutemusic.org/composers/Attey/songs/sweet_was_the_song/midi/sweet_was_the_song_T.mid,1709916849,1700164319
Chi passa per sta strada,,Filippo Azzaiolo,,I-Bc:Museo internazionale e biblioteca della musica di Bologna,Villotte napoletane a tre,,1570,%1,Sarge Gerbode,Sarge Gerbode,,,,,Chi passa per sta strada,,lute song,Dm,3.0,"8-course, alto",score,,,,https://lutemusic.org/composers/Azzaiolo/chi_passa_per_sta_strada.ft3,https://lutemusic.org/composers/Azzaiolo/pdf/chi_passa_per_sta_strada.pdf,https://lutemusic.org/composers/Azzaiolo/midi/chi_passa_per_sta_strada.mid,1709916849,1697320388
Chi passa per sta strada,,Filippo Azzaiolo,,I-Bc:Museo internazionale e biblioteca della musica di Bologna,Villotte napoletane a tre,,1570,%1,Sarge Gerbode,Sarge Gerbode,,,,,Chi passa per sta strada,,lute song,Dm,3.0,"8-course, alto",8-course,,,,https://lutemusic.org/composers/Azzaiolo/chi_passa_per_sta_strada_T.ft3,https://lutemusic.org/composers/Azzaiolo/pdf/chi_passa_per_sta_strada_T.pdf,https://lutemusic.org/composers/Azzaiolo/midi/chi_passa_per_sta_strada_T.mid,1709916849,1697320378
En me revenant,,Daniel Bacheler,,GB-Cu:Cambridge University Library,ms add 3056:Cosens lute book,,1595,f.43v,Sarge Gerbode,Sarge Gerbode,,,,,Round,,"round, allemande",FM,3.0,7-course,,,,https://lutemusic.org/facsimiles/GB-Cu_Cambridge_University_Library/ms_add_3056_Cosens_lute_book_1595/43v.png,https://lutemusic.org/composers/Bacheler/en_me_revenant.ft3,https://lutemusic.org/composers/Bacheler/pdf/en_me_revenant.pdf,https://lutemusic.org/composers/Bacheler/midi/en_me_revenant.mid,1709916849,1588630196
Fantasy 1,,Daniel Bacheler,,GB-Cfm:Fitzwilliam Museum,ms 3-1956:Herbert of Cherburys lute book,,1610,f.56v,Sarge Gerbode,Sarge Gerbode,,,,,Fantasy 1,,fantasia,Fm,6.0,9-course,,,,https://lutemusic.org/facsimiles/GB-Cfm_Fitzwilliam_Museum/ms_3-1956_Herbert_of_Cherburys_lute_book_1610/56v.png,https://lutemusic.org/composers/Bacheler/fantasy_01.ft3,https://lutemusic.org/composers/Bacheler/pdf/fantasy_01.pdf,https://lutemusic.org/composers/Bacheler/midi/fantasy_01.mid,1709916849,1700164319
Galliard to the pavane before,,Daniel Bacheler,,GB-Cu:Cambridge University Library,ms add 3056:Cosens lute book,,1595,f.82v,Sarge Gerbode,Sarge Gerbode,,,,,Galliard to the pavane before,,galliard,Gm,3.0,7-course,,,,https://lutemusic.org/facsimiles/GB-Cu_Cambridge_University_Library/ms_add_3056_Cosens_lute_book_1595/82v.png,https://lutemusic.org/composers/Bacheler/galliard_to_pavane_1_7C.ft3,https://lutemusic.org/composers/Bacheler/pdf/galliard_to_pavane_1_7C.pdf,https://lutemusic.org/composers/Bacheler/midi/galliard_to_pavane_1_7C.mid,1709916849,1588630196
Galliard to the pavane before,,Daniel Bacheler,,GB-Cu:Cambridge University Library,ms add 3056:Cosens lute book,,1595,f.82v,Sarge Gerbode,Sarge Gerbode,,,,,Galliard to the pavane before,,galliard,Gm,3.0,7-course,,,,https://lutemusic.org/facsimiles/GB-Cu_Cambridge_University_Library/ms_add_3056_Cosens_lute_book_1595/82v.png,https://lutemusic.org/composers/Bacheler/galliard_to_pavane_1_8C.ft3,https://lutemusic.org/composers/Bacheler/pdf/galliard_to_pavane_1_8C.pdf,https://lutemusic.org/composers/Bacheler/midi/galliard_to_pavane_1_8C.mid,1709916849,1588630196
